date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:28	131/131	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2011:51:26%20GMT	https://bead.inf.elte.hu/robots.txt		(from )
12:51:29	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index.html	(from )
12:51:30	984/984	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/overview-frame.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/overview-frame.html	(from https://bead.inf.elte.hu/files/java/championship/doc/)
12:51:31	1422/1422	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/allclasses-frame.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/allclasses-frame.html	(from https://bead.inf.elte.hu/files/java/championship/doc/)
12:51:32	4509/4509	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/overview-summary.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/overview-summary.html	(from https://bead.inf.elte.hu/files/java/championship/doc/)
12:51:32	12842/12842	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20May%202017%2011:09:03%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/stylesheet.css	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/stylesheet.css	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-frame.html)
12:51:34	827/827	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/script.js	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/script.js	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-frame.html)
12:51:35	1226/1226	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/package-frame.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/package-frame.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-frame.html)
12:51:36	1102/1102	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-frame.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-frame.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-frame.html)
12:51:36	10804/10804	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/Factory.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/Factory.html	(from https://bead.inf.elte.hu/files/java/championship/doc/allclasses-frame.html)
